# label area perimeter xmin xmax ymin ymax
1 3 3 1352 1352 577 579
2 2 2 1233 1234 588 588
3 1 1 1354 1354 595 595
4 793 240 1756 1808 645 690
11 7 7 1282 1282 652 658
13 275 70 49 67 653 673
26 1 1 1283 1283 667 667
27 3 3 1283 1283 671 673
31 9 9 1283 1284 679 686
36 12 11 865 869 683 686
38 33 29 50 64 684 686
39 3 3 852 853 684 685
40 4 4 1002 1005 684 684
42 1 1 848 848 686 686
43 2 2 933 934 686 686
44 3 3 956 958 686 686
45 36 17 1273 1279 686 692
46 3 3 920 922 687 687
47 1 1 927 927 687 687
49 666 234 38 65 690 746
50 4 4 822 825 690 690
51 1 1 753 753 691 691
52 9 9 777 785 691 691
53 55 29 1258 1266 691 699
54 1 1 759 759 692 692
56 6 6 937 939 695 697
61 1 1 945 945 704 704
63 1 1 935 935 705 705
64 1 1 1034 1034 705 705
66 1 1 920 920 706 706
67 1 1 924 924 706 706
68 3 3 1259 1259 709 711
69 2 2 756 757 710 710
70 21 18 752 754 711 719
72 42 26 989 1000 713 720
73 5 5 918 919 714 716
74 1 1 978 978 714 714
76 1 1 1269 1269 714 714
78 1 1 969 969 715 715
80 2 2 921 922 717 717
81 2 2 916 917 718 718
82 1 1 915 915 720 720
83 1 1 991 991 720 720
85 1 1 998 998 722 722
87 15 14 643 650 725 728
88 2 2 715 715 725 726
89 8 8 817 821 725 728
90 1 1 825 825 725 725
91 1 1 667 667 726 726
92 1 1 826 826 726 726
94 1 1 204 204 727 727
95 4 4 624 626 727 728
96 1 1 654 654 727 727
97 6 6 699 702 727 729
98 2 2 1038 1038 727 728
99 1 1 519 519 728 728
100 1 1 655 655 728 728
102 14 13 615 618 729 734
103 4 4 713 716 730 730
104 28 28 751 754 730 745
105 1 1 758 758 730 730
106 4 4 836 838 730 731
108 4 4 103 105 731 732
110 2 2 939 939 731 732
111 1 1 3 3 732 732
113 16 16 70 71 732 744
114 169 64 75 96 732 746
117 18 15 111 115 732 738
118 1 1 247 247 732 732
119 1 1 315 315 732 732
120 7 7 612 613 732 735
121 24 20 620 625 732 743
122 10 9 4 8 733 736
125 5 5 172 173 733 735
126 1 1 197 197 733 733
127 1 1 231 231 733 733
128 3 3 940 940 733 735
129 11 11 1016 1020 733 736
132 5 5 811 815 735 735
134 7 7 120 123 736 737
135 1 1 246 246 736 736
136 2 2 614 614 736 737
137 2 2 644 645 736 736
138 3 3 764 765 736 737
139 1 1 938 938 736 736
140 1 1 174 174 737 737
141 30 17 304 311 737 743
143 1 1 905 905 737 737
144 1 1 954 954 737 737
146 6 6 175 176 738 742
147 4 4 204 204 738 741
149 1 1 786 786 738 738
150 2 2 950 950 738 739
153 13 10 104 106 739 744
154 1 1 193 193 739 739
155 3 3 787 788 739 740
156 1 1 1016 1016 739 739
157 1 1 1023 1023 739 739
158 1 1 2 2 740 740
162 1 1 190 190 741 741
163 3 3 3 4 743 744
165 1 1 191 191 743 743
166 2 2 962 963 743 743
167 8 8 160 166 744 745
168 6 6 711 713 744 746
170 2 2 100 101 745 745
171 2 2 123 124 745 745
172 1 1 128 128 745 745
173 1 1 135 135 745 745
174 1 1 139 139 745 745
176 4 4 170 173 745 745
177 1 1 189 189 745 745
178 2 2 299 300 745 745
179 3 3 329 330 745 746
180 1 1 626 626 745 745
182 1 1 724 724 745 745
183 1 1 735 735 745 745
185 2 2 341 342 746 746
186 1 1 592 592 746 746
188 1 1 899 899 746 746
189 22 15 1024 1028 746 752
190 9 9 583 591 747 747
191 11 11 1005 1007 747 752
193 5 5 898 900 748 750
194 6 6 921 926 748 748
195 4 4 940 943 748 748
196 5 5 1115 1118 748 749
197 1 1 1171 1171 748 748
198 18 18 86 96 749 753
199 15 15 849 857 749 751
200 1 1 908 908 749 749
201 4 4 917 920 749 749
202 16 13 983 988 749 754
203 6 6 1035 1038 749 750
205 1 1 305 305 750 750
211 2 2 1041 1041 750 751
212 3 3 156 156 751 753
213 2 2 284 285 751 751
214 1 1 317 317 751 751
215 1 1 343 343 751 751
216 1 1 814 814 751 751
218 2 2 999 1000 751 751
219 31 31 769 792 752 753
223 1 1 1040 1040 753 753
224 1 1 61 61 754 754
225 1 1 142 142 754 754
226 2 2 516 516 754 755
227 1 1 673 673 754 754
228 10 10 743 752 754 754
229 10 10 758 767 754 754
230 3 3 701 702 755 756
231 16 16 722 734 755 756
232 2 2 738 739 755 755
234 3 3 1001 1003 756 756
235 12 12 633 643 758 759
236 1 1 662 662 758 758
237 2 2 666 666 758 759
238 1 1 278 278 759 759
239 6 6 624 628 759 760
240 44 34 1183 1198 759 763
241 1 1 629 629 760 760
243 25 14 1241 1247 760 764
244 1 1 572 572 761 761
245 2 2 580 580 761 762
246 1 1 599 599 761 761
248 1 1 565 565 762 762
249 2 2 569 570 762 762
250 1 1 575 575 762 762
251 1 1 594 594 762 762
252 3 3 1220 1222 763 763
253 1 1 499 499 764 764
254 1 1 500 500 765 765
255 2 2 1209 1209 765 766
256 1 1 254 254 772 772
