# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
37 1043 130 1053 1100 737 766 48 30 1440 1 1 1 1 1 0 1
1 982 253 1574 1625 630 679 52 50 2600 1 1 1 1 1 1 1
29 537 208 240 293 734 762 54 29 1566 1 0 1 0 1 1 1
27 318 122 971 999 733 757 29 25 725 1 0 1 1 1 1 1
24 317 73 1028 1046 727 750 19 24 456 1 0 1 1 1 0 1
60 256 112 136 164 744 765 29 22 638 1 0 0 1 1 1 1
68 101 33 1006 1017 746 755 12 10 120 0 0 0 1 1 0 1
91 64 32 185 197 753 760 13 8 104 0 0 0 0 1 0 1
99 57 34 165 174 755 769 10 15 150 0 0 0 0 1 1 1
56 44 36 172 184 743 751 13 9 117 0 0 0 0 1 1 1
143 41 22 1739 1750 787 791 12 5 60 0 0 0 0 1 0 1
53 29 22 295 304 742 746 10 5 50 0 0 0 0 1 1 1
73 25 23 93 102 748 754 10 7 70 0 0 0 0 1 1 1
96 18 16 234 240 754 758 7 5 35 0 0 0 0 1 1 1
116 17 14 185 188 764 769 4 6 24 0 0 0 0 1 0 1
26 16 16 178 185 733 739 8 7 56 0 0 0 1 1 1 1
122 15 15 219 225 767 772 7 6 42 0 0 0 1 1 1 1
74 12 9 955 958 748 752 4 5 20 0 0 0 1 1 1 1
139 11 11 398 404 776 777 7 2 14 0 0 0 0 1 0 1
125 8 8 233 236 769 771 4 3 12 0 0 0 1 1 0 1
127 8 8 250 256 770 771 7 2 14 0 0 0 0 1 1 1
106 7 7 182 184 759 762 3 4 12 0 0 0 1 1 1 1
52 6 5 169 171 742 744 3 3 9 0 0 0 1 1 0 1
105 6 6 176 178 759 762 3 4 12 0 0 0 1 1 1 1
114 6 6 236 237 763 767 2 5 10 0 0 0 0 1 1 1
87 4 4 181 181 752 755 1 4 4 0 0 0 0 1 0 1
101 4 4 179 180 756 757 2 2 4 0 0 0 1 1 0 1
113 4 4 198 201 761 761 4 1 4 0 0 0 0 1 0 1
134 4 4 519 522 772 772 4 1 4 0 0 0 0 1 0 1
38 3 3 163 164 738 739 2 2 4 0 0 0 1 1 0 1
83 3 3 131 133 751 751 3 1 3 0 0 0 0 1 0 1
94 3 3 220 221 754 755 2 2 4 0 0 0 1 1 0 1
121 3 3 228 230 766 766 3 1 3 0 0 0 0 1 0 1
28 2 2 173 174 734 734 2 1 2 0 0 0 0 1 0 1
61 2 2 146 147 744 744 2 1 2 0 0 0 0 1 0 1
77 2 2 336 337 749 749 2 1 2 0 0 0 0 1 0 1
90 2 2 171 171 753 754 1 2 2 0 0 0 0 1 0 1
103 2 2 172 173 757 757 2 1 2 0 0 0 0 1 0 1
109 2 2 143 143 760 761 1 2 2 0 0 0 0 1 0 1
112 2 2 227 227 760 761 1 2 2 0 0 0 0 1 0 1
119 2 2 198 199 765 765 2 1 2 0 0 0 0 1 0 1
120 2 2 219 219 765 766 1 2 2 0 0 0 0 1 0 1
133 2 2 231 232 772 772 2 1 2 0 0 0 0 1 0 1
136 2 2 228 229 773 773 2 1 2 0 0 0 0 1 0 1
25 1 1 203 203 728 728 1 1 1 0 0 0 1 1 0 1
30 1 1 175 175 735 735 1 1 1 0 0 0 1 1 0 1
34 1 1 166 166 737 737 1 1 1 0 0 0 1 1 0 1
67 1 1 310 310 746 746 1 1 1 0 0 0 1 1 0 1
69 1 1 149 149 747 747 1 1 1 0 0 0 1 1 0 1
70 1 1 165 165 747 747 1 1 1 0 0 0 1 1 0 1
82 1 1 275 275 750 750 1 1 1 0 0 0 1 1 0 1
86 1 1 274 274 751 751 1 1 1 0 0 0 1 1 0 1
89 1 1 165 165 753 753 1 1 1 0 0 0 1 1 0 1
95 1 1 229 229 754 754 1 1 1 0 0 0 1 1 0 1
98 1 1 97 97 755 755 1 1 1 0 0 0 1 1 0 1
107 1 1 202 202 759 759 1 1 1 0 0 0 1 1 0 1
111 1 1 222 222 760 760 1 1 1 0 0 0 1 1 0 1
115 1 1 132 132 764 764 1 1 1 0 0 0 1 1 0 1
123 1 1 227 227 767 767 1 1 1 0 0 0 1 1 0 1
124 1 1 608 608 767 767 1 1 1 0 0 0 1 1 0 1
128 1 1 535 535 770 770 1 1 1 0 0 0 1 1 0 1
129 1 1 149 149 771 771 1 1 1 0 0 0 1 1 0 1
130 1 1 173 173 771 771 1 1 1 0 0 0 1 1 0 1
132 1 1 518 518 771 771 1 1 1 0 0 0 1 1 0 1
135 1 1 167 167 773 773 1 1 1 0 0 0 1 1 0 1
137 1 1 180 180 774 774 1 1 1 0 0 0 1 1 0 1
138 1 1 238 238 776 776 1 1 1 0 0 0 1 1 0 1
140 1 1 737 737 777 777 1 1 1 0 0 0 1 1 0 1
141 1 1 251 251 778 778 1 1 1 0 0 0 1 1 0 1
142 1 1 245 245 779 779 1 1 1 0 0 0 1 1 0 1
145 1 1 1787 1787 795 795 1 1 1 0 0 0 1 1 0 1
146 1 1 1807 1807 796 796 1 1 1 0 0 0 1 1 0 1
