# label area perimeter xmin xmax ymin ymax
1 690 223 333 375 572 617
25 161 99 366 373 615 660
26 17 12 331 335 616 621
30 1 1 330 330 622 622
31 25 23 338 345 623 630
32 66 45 351 357 623 640
38 30 27 330 332 629 646
40 67 48 340 343 631 656
43 1 1 1728 1728 638 638
44 96 61 351 364 642 656
52 5 5 330 330 653 657
55 54 38 329 349 660 663
57 3 3 354 356 661 661
58 6 6 1457 1460 684 686
59 1 1 1443 1443 687 687
60 74 28 1309 1321 692 698
64 3 3 1039 1041 739 739
65 3 3 885 885 741 743
66 63 52 1245 1256 751 760
68 6 6 1335 1340 753 753
69 2 2 1428 1428 753 754
70 5 5 1333 1334 754 757
71 5 5 1341 1342 754 756
72 112 45 927 948 756 763
73 77 31 972 986 756 761
74 426 92 1171 1211 756 769
75 47 22 900 907 757 763
86 136 57 1013 1040 759 764
87 157 59 1062 1090 759 765
90 285 72 514 548 760 770
92 38 21 790 798 760 765
107 6 6 778 782 764 765
109 147 58 475 502 765 772
118 33 19 1257 1262 768 775
121 10 9 1269 1273 769 771
122 23 16 1279 1287 769 773
123 15 12 1304 1307 769 773
126 6 6 1319 1324 770 770
127 2 2 1330 1331 770 770
128 9 9 1331 1333 771 775
130 3 3 1310 1312 776 776
131 2 2 1065 1066 785 785
132 31 18 1018 1026 799 804
133 38 20 1078 1086 799 806
136 10 9 1346 1350 800 802
139 11 11 1355 1361 801 803
142 122 74 1367 1404 803 809
145 106 45 1736 1756 846 853
149 8 8 1766 1772 850 851
150 1 1 180 180 852 852
340 9 9 1336 1344 0 0
