# label area perimeter xmin xmax ymin ymax
1 2 2 47 47 585 586
2 3 3 50 51 588 589
3 1 1 1447 1447 626 626
4 1 1 1434 1434 640 640
5 2 2 1457 1457 651 652
6 74 40 1442 1456 652 659
10 18 17 1462 1465 664 672
11 57 40 1443 1462 680 686
15 145 53 754 774 695 707
18 14 12 1205 1208 723 727
20 11 10 1014 1019 739 741
22 55 23 1012 1020 748 755
25 75 43 837 853 759 769
26 1 1 833 833 760 760
28 1 1 828 828 761 761
29 1 1 836 836 761 761
30 1 1 827 827 762 762
33 12 10 831 835 767 769
34 100 59 797 816 768 776
39 5 5 787 789 775 777
40 3 3 793 794 775 776
42 2 2 782 783 778 778
43 1 1 775 775 779 779
44 4 4 758 760 781 782
45 37 21 762 768 781 789
46 3 3 772 773 781 782
47 7 7 754 757 784 786
50 133 47 546 566 841 852
53 1 1 542 542 845 845
55 932 241 454 530 846 869
57 2 2 536 537 846 846
61 18 14 531 537 848 851
66 2 2 544 545 850 850
68 1 1 546 546 851 851
71 107 47 688 707 853 865
72 1 1 709 709 853 853
75 1 1 462 462 855 855
78 1 1 444 444 857 857
79 1 1 689 689 857 857
80 336 134 426 464 858 881
95 1 1 467 467 867 867
96 1 1 663 663 869 869
97 350 123 389 425 870 894
99 1 1 666 666 870 870
104 2 2 470 470 872 873
105 16 13 658 663 872 875
108 102 51 636 657 873 882
109 1 1 690 690 873 873
111 3 3 666 667 874 875
117 2 2 408 408 878 879
118 10 10 453 458 878 879
122 1 1 698 698 879 879
123 115 51 690 706 879 892
126 10 10 367 372 881 884
128 1 1 451 451 881 881
137 462 174 334 385 884 905
139 1 1 629 629 884 884
142 1 1 626 626 886 886
143 9 9 685 689 886 887
147 1 1 684 684 888 888
150 6 6 615 617 889 890
154 5 5 611 614 892 893
155 8 8 630 633 892 894
158 2 2 621 622 893 893
160 2 2 324 324 895 896
161 2 2 307 308 896 896
162 1 1 605 605 896 896
163 4 4 628 628 896 899
164 1 1 657 657 896 896
165 3 3 606 607 897 898
166 16 15 586 593 898 900
168 1 1 583 583 899 899
169 39 28 684 689 899 910
172 15 14 595 601 900 902
173 1 1 639 639 900 900
174 3 3 285 287 901 901
175 1 1 354 354 902 902
176 1 1 604 604 902 902
177 1 1 280 280 904 904
178 2 2 296 297 904 904
179 1 1 361 361 904 904
180 4 4 283 286 905 905
181 1 1 360 360 905 905
182 4 4 587 589 905 906
183 33 29 626 634 905 912
184 5 5 647 648 905 907
185 9 8 278 281 906 909
186 4 4 606 609 906 906
187 1 1 639 639 906 906
189 1 1 654 654 906 906
190 4 4 345 346 907 909
191 109 73 600 620 907 927
192 5 5 622 623 907 909
193 90 46 257 277 908 915
195 1 1 338 338 908 908
200 108 53 284 305 909 918
203 1 1 598 598 909 909
208 1 1 586 586 910 910
209 7 6 281 283 912 914
210 2 2 558 559 912 912
213 1 1 557 557 913 913
214 2 2 594 595 913 913
216 1 1 637 637 915 915
