# label area perimeter xmin xmax ymin ymax
1 32462 6440 1625 4095 2 248
3 297 121 1873 1912 2 22
5 1451 400 1818 1908 5 39
16 12 12 1911 1915 11 14
24 3 3 1782 1783 15 16
25 2 2 1704 1705 16 16
28 4 4 0 1 18 19
31 16 15 1912 4095 19 22
37 1 1 1840 1840 23 23
39 2 2 1817 1817 24 25
61 2 2 1839 1840 44 44
62 1 1 1842 1842 45 45
63 4 4 1844 1847 46 46
66 7 7 1850 1855 48 49
68 1 1 1866 1866 49 49
70 13 13 1821 1827 50 53
74 17 17 1814 1816 52 58
81 3 3 1838 1840 54 54
91 3 3 0 4095 63 63
104 1 1 1911 1911 68 68
105 9 9 1722 1726 70 71
106 26 18 1907 1915 71 75
108 8 8 0 1 73 76
114 1 1 1719 1719 76 76
116 4 4 1627 1630 79 79
120 102 102 0 4095 80 113
133 1 1 1746 1746 85 85
134 1 1 1821 1821 85 85
143 4 4 1823 1826 88 88
152 1 1 1740 1740 94 94
167 5 5 1758 1762 101 101
178 1 1 1659 1659 106 106
188 9 8 1649 1652 112 114
192 8 8 1643 1647 114 116
197 16 13 1632 1638 116 120
205 2 2 1659 1659 123 124
212 64 30 1527 1537 128 136
218 1 1 1726 1726 129 129
220 9 9 1511 1514 130 132
222 1 1 1734 1734 130 130
225 31 20 1517 1527 131 137
234 39 37 1904 4095 132 139
237 1 1 1732 1732 133 133
241 185 87 1443 1471 135 148
244 4 4 1472 1474 136 137
245 5 5 1902 1903 136 139
246 10 10 1441 1446 137 140
250 9 9 1481 1484 138 142
251 16 14 1512 1519 138 141
255 24 22 1473 1480 139 146
256 4 4 1880 1881 139 141
259 3 3 1622 1624 140 140
262 899 284 1500 1540 141 189
263 6 6 1610 1612 141 143
268 3 3 1485 1485 143 145
270 1 1 1472 1472 144 144
271 5 5 1607 1609 144 146
275 1 1 1500 1500 145 145
277 5 5 1880 1882 145 146
278 2 2 1491 1491 146 147
279 1 1 1499 1499 146 146
280 3 3 1614 1616 146 146
281 5 5 1631 1634 146 147
282 12 11 1483 1489 147 150
283 1 1 1498 1498 147 147
287 1 1 1643 1643 147 147
288 1 1 1733 1733 147 147
290 1 1 1470 1470 148 148
291 1 1 1481 1481 148 148
292 1 1 1646 1646 148 148
298 1 1 1597 1597 150 150
302 45 41 1466 1482 152 159
305 1 1 1557 1557 154 154
309 12 10 1558 1562 155 157
317 1 1 1679 1679 156 156
319 1 1 1565 1565 157 157
320 4 4 1628 1630 157 158
323 1 1 1678 1678 157 157
325 2 2 1486 1487 158 158
326 1 1 1597 1597 158 158
327 3 3 1604 1606 158 158
328 1 1 1640 1640 158 158
330 1 1 1489 1489 159 159
332 8 8 1472 1474 160 164
333 1 1 1567 1567 160 160
334 1 1 1478 1478 161 161
335 1 1 1568 1568 161 161
338 1 1 1485 1485 162 162
340 1 1 1618 1618 162 162
341 1 1 1697 1697 162 162
342 2 2 1701 1702 162 162
