# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
1 32572 6454 1625 1919 2 248 294 246 72324 1 1 1 1 0 1 1
404 21777 1862 818 1083 175 308 265 133 35245 1 1 1 1 0 0 1
1619 16502 2514 1490 1919 397 575 429 178 76362 1 1 1 0 0 1 0
1744 10315 1441 0 338 418 507 338 89 30082 1 1 1 0 0 1 1
1045 9935 1778 1483 1700 291 396 217 105 22785 1 1 1 1 0 1 1
946 6223 941 1389 1525 279 413 136 134 18224 1 1 1 1 0 1 1
1471 2888 725 597 700 356 445 103 89 9167 1 1 1 1 0 1 1
1556 2359 309 1175 1255 380 431 80 51 4080 1 1 1 1 1 1 1
2165 1573 282 596 709 518 538 113 20 2260 1 0 1 0 1 0 1
5 1459 408 1818 1908 5 39 90 34 3060 1 1 1 0 1 1 1
262 899 284 1500 1540 141 189 40 48 1920 1 1 1 1 1 1 1
1052 858 271 1309 1363 292 339 54 47 2538 1 1 1 1 1 1 1
1396 789 215 598 673 341 364 75 23 1725 1 0 1 0 1 1 1
2323 761 154 1756 1824 600 614 68 14 952 1 0 1 0 1 0 1
1899 685 210 1271 1319 443 472 48 29 1392 1 0 1 0 1 1 1
2312 685 135 1648 1712 590 604 64 14 896 1 0 1 0 1 0 1
464 669 300 1485 1544 187 215 59 28 1652 1 0 1 0 0 1 1
1442 631 106 1267 1307 348 373 40 25 1000 1 0 1 0 1 0 1
2067 607 188 17 92 490 506 75 16 1200 1 0 1 0 1 1 1
2192 601 211 917 1015 524 541 98 17 1666 1 0 1 0 1 1 1
700 580 165 1310 1368 236 259 58 23 1334 1 0 1 0 1 1 1
1768 402 129 1251 1276 420 466 25 46 1150 1 0 1 0 1 1 1
1980 385 110 747 784 466 493 37 27 999 1 0 1 0 1 1 1
2302 376 140 1557 1605 585 597 48 12 576 1 0 1 0 1 0 1
1341 344 150 530 577 331 354 47 23 1081 1 0 1 0 1 1 1
907 292 144 1503 1558 274 288 55 14 770 1 0 0 0 1 1 1
3 288 112 1873 1912 2 22 39 20 780 1 0 0 0 1 1 1
2287 254 128 1454 1527 581 589 73 8 584 1 0 0 0 1 1 1
828 249 128 1824 1880 262 271 56 9 504 1 0 0 0 1 1 1
701 241 134 1451 1478 236 263 27 27 729 1 0 0 1 1 1 1
2010 241 132 1433 1487 473 483 54 10 540 1 0 0 0 1 1 1
2099 232 99 1028 1068 501 512 40 11 440 1 0 0 0 1 1 1
2327 218 74 1889 1919 608 619 30 11 330 1 0 0 0 1 0 1
1038 215 87 399 433 291 302 34 11 374 1 0 0 0 1 1 1
2055 211 99 865 913 486 490 48 4 192 0 0 0 0 1 0 1
1629 207 83 1316 1345 399 411 29 12 348 1 0 0 0 1 1 1
1750 207 83 1292 1314 418 437 22 19 418 1 0 0 1 1 1 1
1261 193 111 1385 1408 319 339 23 20 460 1 0 0 1 1 1 1
2129 192 70 1162 1184 508 525 22 17 374 1 0 0 1 1 1 1
1745 190 51 583 599 418 434 16 16 256 0 0 0 1 1 0 1
241 185 87 1443 1471 135 148 28 13 364 1 0 0 0 1 1 1
2082 182 62 213 235 496 509 22 13 286 0 0 0 0 1 0 1
1594 175 92 869 913 393 403 44 10 440 1 0 0 0 1 1 1
2133 173 55 1298 1318 509 521 20 12 240 0 0 0 0 1 0 1
1682 169 79 902 940 408 417 38 9 342 1 0 0 0 1 1 1
627 164 91 1509 1533 216 230 24 14 336 1 0 0 0 1 1 1
714 162 90 1368 1389 241 259 21 18 378 1 0 0 1 1 1 1
756 158 104 1562 1584 251 268 22 17 374 1 0 0 1 1 1 1
2206 149 73 1127 1160 528 538 33 10 330 1 0 0 0 1 1 1
2268 149 63 2 26 562 571 24 9 216 0 0 0 0 1 0 1
378 147 64 1415 1432 169 181 17 12 204 0 0 0 0 1 0 1
2241 144 55 186 205 542 556 19 14 266 0 0 0 0 1 1 1
356 139 62 1484 1498 164 183 14 19 266 0 0 0 0 1 1 1
1492 129 76 694 723 364 375 29 11 319 1 0 0 0 1 1 1
1588 111 80 676 706 392 407 30 15 450 1 0 0 0 1 1 1
1339 109 69 500 519 331 343 19 12 228 0 0 0 0 1 1 1
2262 105 54 1896 1919 556 562 23 6 138 0 0 0 0 1 0 1
2280 103 72 1549 1585 576 579 36 3 108 0 0 0 0 1 0 1
893 95 62 1570 1591 272 282 21 10 210 0 0 0 0 1 1 1
2092 93 62 97 128 501 504 31 3 93 0 0 0 0 1 0 1
2096 92 45 254 259 501 521 5 20 100 0 0 0 0 1 0 1
1436 91 56 578 597 346 355 19 9 171 0 0 0 0 1 1 1
1874 90 64 1892 1919 439 444 27 5 135 0 0 0 0 1 0 1
853 88 57 1652 1669 265 278 17 13 221 0 0 0 1 1 1 1
541 84 48 1471 1486 201 213 15 12 180 0 0 0 1 1 1 1
1914 84 43 1188 1202 449 459 14 10 140 0 0 0 0 1 1 1
1713 83 52 982 1008 413 417 26 4 104 0 0 0 0 1 0 1
1952 82 44 1166 1187 457 462 21 5 105 0 0 0 0 1 0 1
1342 81 50 725 745 331 340 20 9 180 0 0 0 0 1 1 1
2181 79 64 427 460 522 527 33 5 165 0 0 0 0 1 1 1
2193 79 39 1014 1032 524 533 18 9 162 0 0 0 0 1 1 1
1621 78 78 0 1 398 436 1 38 38 0 0 0 0 1 0 1
1318 77 33 1324 1331 328 341 7 13 91 0 0 0 0 1 0 1
422 76 76 0 1 179 216 1 37 37 0 0 0 0 1 0 1
120 68 68 0 1 80 113 1 33 33 0 0 0 0 1 0 1
1115 67 35 1368 1373 299 313 5 14 70 0 0 0 0 1 0 1
212 64 30 1527 1537 128 136 10 8 80 0 0 0 1 1 0 1
1929 64 33 651 666 453 459 15 6 90 0 0 0 0 1 0 1
1614 60 51 837 865 397 400 28 3 84 0 0 0 0 1 0 1
1965 59 32 164 178 460 466 14 6 84 0 0 0 0 1 0 1
1993 59 39 1182 1202 469 472 20 3 60 0 0 0 0 1 0 1
2284 59 56 1517 1548 578 583 31 5 155 0 0 0 0 1 1 1
530 56 34 1462 1473 199 209 11 10 110 0 0 0 1 1 1 1
2246 56 41 1148 1159 543 552 11 9 99 0 0 0 1 1 1 1
951 55 31 1622 1634 279 285 12 6 72 0 0 0 0 1 0 1
1060 55 39 310 324 293 303 14 10 140 0 0 0 0 1 1 1
926 53 47 1299 1310 277 287 11 10 110 0 0 0 1 1 1 1
735 49 30 1681 1690 246 255 9 9 81 0 0 0 1 1 0 1
1397 49 34 688 701 341 351 13 10 130 0 0 0 1 1 1 1
1626 48 38 812 832 399 405 20 6 120 0 0 0 0 1 1 1
1842 48 31 1005 1009 433 447 4 14 56 0 0 0 0 1 0 1
848 47 27 1478 1484 265 275 6 10 60 0 0 0 0 1 0 1
302 45 41 1466 1482 152 159 16 7 112 0 0 0 0 1 1 1
1249 45 32 1041 1057 318 322 16 4 64 0 0 0 0 1 0 1
2080 45 25 1310 1315 495 506 5 11 55 0 0 0 0 1 0 1
2324 44 24 2 12 602 607 10 5 50 0 0 0 0 1 0 1
487 43 33 1474 1483 190 200 9 10 90 0 0 0 1 1 1 1
1144 42 42 847 882 302 304 35 2 70 0 0 0 0 1 1 1
1398 42 28 1235 1250 341 344 15 3 45 0 0 0 0 1 0 1
963 41 32 1785 1801 280 284 16 4 64 0 0 0 0 1 0 1
2188 41 29 356 369 523 528 13 5 65 0 0 0 0 1 0 1
469 40 32 1463 1472 188 197 9 9 81 0 0 0 1 1 1 1
2093 40 35 157 173 501 506 16 5 80 0 0 0 0 1 1 1
2369 40 37 404 424 1017 1020 20 3 60 0 0 0 0 1 0 1
234 39 36 1904 1919 132 139 15 7 105 0 0 0 0 1 1 1
1589 38 23 1290 1300 392 396 10 4 40 0 0 0 0 1 0 1
1941 38 25 1093 1104 455 458 11 3 33 0 0 0 0 1 0 1
2054 38 23 806 818 486 490 12 4 48 0 0 0 0 1 0 1
1013 37 25 1663 1674 287 294 11 7 77 0 0 0 0 1 1 1
1351 37 29 705 720 332 334 15 2 30 0 0 0 0 1 0 1
1773 36 22 770 779 421 424 9 3 27 0 0 0 0 1 0 1
1102 35 26 1510 1519 297 305 9 8 72 0 0 0 1 1 1 1
2135 35 23 1146 1156 510 516 10 6 60 0 0 0 0 1 1 1
647 34 34 0 1 220 236 1 16 16 0 0 0 0 1 0 1
1310 33 18 1346 1352 326 332 6 6 36 0 0 0 1 1 0 1
1747 33 33 780 808 418 420 28 2 56 0 0 0 0 1 1 1
1968 32 20 800 805 460 466 5 6 30 0 0 0 1 1 0 1
2018 32 20 1106 1115 476 479 9 3 27 0 0 0 0 1 0 1
2275 32 30 271 289 572 575 18 3 54 0 0 0 0 1 1 1
225 31 20 1517 1527 131 137 10 6 60 0 0 0 0 1 1 1
1677 30 21 1354 1363 407 414 9 7 63 0 0 0 1 1 1 1
363 29 28 1558 1571 165 167 13 2 26 0 0 0 0 1 0 1
1590 29 19 1303 1310 392 396 7 4 28 0 0 0 0 1 0 1
1920 29 20 626 635 451 455 9 4 36 0 0 0 0 1 0 1
2040 29 17 296 302 481 486 6 5 30 0 0 0 1 1 0 1
106 26 18 1907 1915 71 75 8 4 32 0 0 0 0 1 0 1
779 26 24 1896 1905 253 257 9 4 36 0 0 0 0 1 0 1
1312 26 25 604 614 327 332 10 5 50 0 0 0 0 1 1 1
2350 25 20 1228 1239 834 837 11 3 33 0 0 0 0 1 0 1
255 24 22 1473 1480 139 146 7 7 49 0 0 0 1 1 1 1
1404 24 23 702 717 342 344 15 2 30 0 0 0 0 1 0 1
1742 24 15 1575 1579 417 422 4 5 20 0 0 0 1 1 0 1
1849 24 18 1106 1114 435 438 8 3 24 0 0 0 0 1 0 1
2245 24 18 1130 1136 543 548 6 5 30 0 0 0 1 1 0 1
832 23 21 1514 1522 263 271 8 8 64 0 0 0 1 1 1 1
1326 23 21 752 757 329 338 5 9 45 0 0 0 0 1 1 1
1587 23 23 1907 1919 391 392 12 1 12 0 0 0 0 1 0 1
2012 23 20 278 289 474 476 11 2 22 0 0 0 0 1 0 1
2062 23 23 961 973 488 490 12 2 24 0 0 0 0 1 0 1
354 22 22 0 1 164 174 1 10 10 0 0 0 0 1 0 1
551 22 15 1398 1404 204 208 6 4 24 0 0 0 0 1 0 1
1008 22 19 1563 1574 286 289 11 3 33 0 0 0 0 1 0 1
1063 22 20 495 504 293 296 9 3 27 0 0 0 0 1 0 1
1128 22 15 290 296 301 304 6 3 18 0 0 0 0 1 0 1
1372 22 18 675 682 335 339 7 4 28 0 0 0 0 1 0 1
1718 22 16 626 633 414 417 7 3 21 0 0 0 0 1 0 1
2328 22 22 0 1 610 620 1 10 10 0 0 0 0 1 0 1
1540 20 18 684 691 375 379 7 4 28 0 0 0 0 1 0 1
1916 20 15 1724 1730 449 451 6 2 12 0 0 0 0 1 0 1
2352 20 20 1322 1341 834 834 19 0 0 0 0 0 0 1 0 0
