# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
4 4431 631 1303 1468 269 356 165 87 14355 1 1 1 0 1 1 1
77 1637 305 255 402 384 402 147 18 2646 1 0 1 0 1 0 1
1 281 120 766 826 174 181 60 7 420 1 0 0 0 1 0 1
28 267 110 1694 1746 298 307 52 9 468 1 0 0 0 1 1 1
82 157 73 592 632 387 392 40 5 200 0 0 0 0 1 0 1
96 123 78 1763 1802 1010 1017 39 7 273 0 0 0 0 1 1 1
34 45 38 1775 1792 304 311 17 7 119 0 0 0 0 1 1 1
76 9 9 587 594 383 384 7 1 7 0 0 0 0 1 0 1
41 1 1 1796 1796 311 311 0 0 0 0 0 0 1 1 0 0
53 1 1 1802 1802 323 323 0 0 0 0 0 0 1 1 0 0
94 1 1 1805 1805 1008 1008 0 0 0 0 0 0 1 1 0 0
95 1 1 1804 1804 1009 1009 0 0 0 0 0 0 1 1 0 0
