# label area perimeter xmin xmax ymin ymax
1 14337 1119 836 1144 185 312
84 1 1 1297 1297 298 298
85 2 2 1298 1299 299 299
86 2 2 1300 1301 300 300
87 1 1 1306 1306 300 300
88 15 11 1022 1025 304 307
90 1 1 1014 1014 314 314
91 1 1 1389 1389 315 315
92 4 4 1385 1388 316 316
93 3 3 1026 1026 320 322
94 6 6 1432 1434 324 325
95 9 9 1248 1256 368 368
96 1 1 1116 1116 370 370
97 80 34 1038 1051 372 381
98 25 25 1155 1179 372 372
99 72 72 1180 1229 372 374
103 5 5 1107 1111 375 375
104 4 4 1103 1106 376 376
106 45 36 1065 1080 380 390
107 7 7 1180 1182 381 383
108 370 83 926 948 382 404
109 4 4 1033 1036 382 382
111 1 1 1031 1031 383 383
113 1 1 1030 1030 384 384
114 2 2 1083 1084 384 384
116 119 66 1000 1025 385 399
117 4 4 1026 1028 385 386
118 2 2 1037 1038 385 385
121 26 22 1256 1269 388 390
124 1 1 1127 1127 389 389
128 2 2 1026 1026 391 392
129 30 26 1027 1045 391 395
130 1 1 1069 1069 391 391
131 2 2 1218 1219 391 391
133 1 1 1068 1068 392 392
135 1 1 1067 1067 393 393
136 60 36 1051 1066 394 404
137 1 1 1014 1014 395 395
138 3 3 1046 1048 395 395
140 175 69 872 897 396 406
141 1 1 1013 1013 396 396
144 12 11 1007 1012 397 400
145 12 9 1018 1021 397 400
147 1 1 1145 1145 397 397
154 1 1 1138 1138 399 399
157 2 2 1134 1135 400 400
158 146 52 725 743 402 411
163 174 69 1096 1127 402 410
164 1 1 1128 1128 402 402
168 7 7 925 925 405 411
169 42 23 1026 1033 405 412
171 1 1 1594 1594 406 406
174 9 9 1590 1593 407 410
175 2 2 1599 1600 407 407
176 1 1 873 873 408 408
179 2 2 1601 1602 408 408
180 1 1 1613 1613 408 408
181 1 1 874 874 409 409
183 6 6 1606 1608 409 412
185 3 3 875 876 410 411
186 3 3 924 924 412 414
187 14 14 1603 1606 416 422
188 1 1 1016 1016 417 417
189 8 8 1077 1081 418 421
190 1 1 1084 1084 418 418
193 3 3 1023 1025 420 420
194 2 2 1022 1022 421 422
195 3 3 1074 1076 422 422
197 170 69 1026 1050 423 438
198 1 1 1067 1067 423 423
199 126 68 1615 1639 423 432
200 96 48 719 737 424 433
201 53 34 740 751 424 433
202 6 6 767 768 424 427
206 165 50 754 768 425 443
216 6 6 719 723 432 433
218 1 1 725 725 433 433
219 7 7 1000 1005 434 435
220 3 3 748 749 435 436
223 17 14 945 948 437 442
225 9 8 745 747 438 440
226 2 2 753 754 438 438
227 3 3 895 897 439 439
228 1 1 902 902 439 439
229 7 7 755 759 442 443
230 1 1 903 903 443 443
231 2 2 941 942 443 443
232 30 30 1000 1024 443 444
233 2 2 906 907 444 444
234 4 4 920 923 444 444
235 1 1 927 927 444 444
236 5 5 936 940 444 444
238 1 1 1116 1116 445 445
239 255 116 1077 1133 447 453
242 46 43 1138 1163 449 451
244 43 38 519 538 456 460
245 1 1 534 534 461 461
246 13 11 681 683 461 465
248 1 1 525 525 465 465
249 3 3 757 757 466 468
250 5 5 765 769 466 466
251 20 14 505 507 467 474
253 73 43 521 538 468 476
255 6 6 513 514 470 474
256 461 219 745 794 470 498
260 10 8 726 731 473 475
267 1 1 748 748 480 480
269 2 2 755 756 485 485
271 1 1 758 758 486 486
272 5 5 328 330 489 490
273 1 1 346 346 489 489
274 35 27 348 359 489 493
278 237 147 310 359 490 521
280 11 10 391 394 490 494
283 3 3 284 285 491 492
285 4 4 676 679 491 491
288 6 6 289 294 493 493
292 6 6 389 390 495 498
298 38 36 822 841 499 502
299 7 7 847 853 499 499
300 1 1 859 859 499 499
302 185 78 1631 1665 500 509
303 11 10 842 846 501 503
304 1 1 870 870 501 501
306 72 32 284 295 502 508
308 2 2 857 858 502 502
314 1 1 1666 1666 505 505
320 41 34 320 333 515 521
321 8 8 666 667 515 519
325 3 3 332 333 520 521
327 961 203 1710 1800 529 544
328 169 58 1590 1614 530 537
330 25 21 668 670 531 540
334 99 45 591 606 533 541
335 120 46 783 804 533 539
336 2 2 614 615 534 534
339 36 20 1691 1698 536 541
340 1 1 1818 1818 541 541
341 14 11 740 743 542 545
342 492 147 394 462 545 552
343 787 166 539 615 545 556
344 417 105 680 727 545 556
354 15 15 1640 1650 551 552
356 43 43 1539 1575 553 554
357 150 62 1586 1614 553 558
359 634 208 1691 1793 554 563
362 19 18 1583 1588 556 562
368 2 2 1460 1460 560 561
369 24 24 694 717 562 562
370 2 2 745 746 568 568
371 11 11 761 768 573 574
372 19 19 770 784 585 588
373 3 3 795 795 586 588
374 6 6 789 794 589 589
375 6 6 1573 1577 597 598
376 2 2 1023 1024 609 609
377 3 3 1014 1016 610 610
378 14 13 1827 1833 618 621
381 25 21 1416 1418 634 649
382 2 2 1608 1609 636 636
383 2 2 1590 1591 638 638
384 90 54 1487 1512 639 642
385 118 47 1445 1460 642 652
387 246 107 1225 1234 644 692
392 3 3 1522 1524 649 649
396 5 5 1448 1452 653 653
398 60 44 1039 1044 655 677
405 3 3 1422 1423 668 669
408 15 15 975 976 672 681
411 28 22 860 870 682 685
413 2 2 1308 1308 688 689
414 5 5 745 745 694 698
415 36 30 1032 1035 699 714
417 30 23 1231 1243 704 707
418 110 58 1129 1153 706 713
420 3 3 863 865 713 713
421 14 14 822 832 715 716
423 2 2 1411 1412 737 737
424 5 5 438 442 850 850
425 28 22 400 410 863 865
428 2 2 1510 1511 867 867
429 1 1 1615 1615 875 875
430 2 2 1397 1398 883 883
431 2 2 1359 1360 884 884
432 4 4 1392 1395 884 884
433 2 2 1369 1370 886 886
434 2 2 1382 1383 887 887
435 1 1 1609 1609 900 900
436 4 4 1618 1620 906 907
437 4 4 1621 1623 908 909
438 10 9 1595 1598 910 915
440 1 1 1663 1663 912 912
441 5 5 1676 1678 912 913
