# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
1 14337 1119 836 1144 185 312 308 127 39116 1 1 1 0 1 1 1
327 961 203 1710 1800 529 544 90 15 1350 1 0 1 0 1 0 1
343 787 166 539 615 545 556 76 11 836 1 0 1 0 1 0 1
359 634 208 1691 1793 554 563 102 9 918 1 0 1 0 1 0 1
342 492 147 394 462 545 552 68 7 476 1 0 1 0 1 0 1
256 461 219 745 794 470 498 49 28 1372 1 0 1 0 1 1 1
344 417 105 680 727 545 556 47 11 517 1 0 1 0 1 0 1
108 370 83 926 948 382 404 22 22 484 1 0 1 1 1 0 1
239 255 116 1077 1133 447 453 56 6 336 1 0 0 0 1 0 1
387 246 107 1225 1234 644 692 9 48 432 1 0 0 0 1 1 1
278 237 147 310 359 490 521 49 31 1519 1 0 0 0 1 1 0
302 185 78 1631 1665 500 509 34 9 306 1 0 0 0 1 0 1
140 175 69 872 897 396 406 25 10 250 0 0 0 0 1 0 1
163 174 69 1096 1127 402 410 31 8 248 0 0 0 0 1 0 1
197 170 69 1026 1050 423 438 24 15 360 1 0 0 0 1 1 1
328 169 58 1590 1614 530 537 24 7 168 0 0 0 0 1 0 1
206 165 50 754 768 425 443 14 18 252 0 0 0 1 1 0 1
357 150 62 1586 1614 553 558 28 5 140 0 0 0 0 1 0 1
158 146 52 725 743 402 411 18 9 162 0 0 0 0 1 0 1
199 126 68 1615 1639 423 432 24 9 216 0 0 0 0 1 1 1
335 120 46 783 804 533 539 21 6 126 0 0 0 0 1 0 1
116 119 66 1000 1025 385 399 25 14 350 1 0 0 0 1 1 1
385 118 47 1445 1460 642 652 15 10 150 0 0 0 0 1 0 1
418 110 58 1129 1153 706 713 24 7 168 0 0 0 0 1 0 1
334 99 45 591 606 533 541 15 8 120 0 0 0 0 1 0 1
200 96 48 719 737 424 433 18 9 162 0 0 0 0 1 1 1
384 90 54 1487 1512 639 642 25 3 75 0 0 0 0 1 0 1
