# label area perimeter xmin xmax ymin ymax
1 4565 553 2 130 527 632
30 4679 576 1555 1687 570 677
112 106 35 1345 1356 625 634
124 1 1 10 10 640 640
138 2 2 9 9 656 657
143 1 1 10 10 659 659
147 1 1 11 11 660 660
149 15 15 22 36 662 662
151 6 6 1671 1672 678 682
153 81 28 1470 1479 699 708
156 2 2 1557 1557 702 703
157 4 4 233 234 735 736
158 1 1 1049 1049 735 735
159 79 70 163 205 736 740
160 1 1 60 60 737 737
162 9 9 213 219 737 739
163 9 9 226 231 737 739
164 5 5 235 238 737 738
169 1 1 206 206 739 739
171 6 6 1001 1004 739 740
172 119 69 1015 1048 739 746
173 45 37 982 1000 740 743
177 1 1 461 461 741 741
181 2 2 1253 1254 742 742
182 6 5 1173 1175 743 746
183 4 4 1250 1252 743 744
184 45 31 1149 1156 744 756
187 1 1 886 886 746 746
188 1 1 1179 1179 746 746
189 17 13 1331 1336 746 750
190 17 12 1120 1123 747 753
191 1 1 1147 1147 747 747
193 1 1 646 646 748 748
194 1 1 652 652 748 748
195 8 8 916 917 748 752
199 3 3 1159 1161 749 749
201 12 12 1200 1205 750 752
202 1 1 1146 1146 751 751
203 14 11 1166 1171 751 754
205 6 6 1339 1344 752 752
207 13 10 1218 1222 753 755
209 7 7 1308 1310 754 756
211 1 1 1692 1692 755 755
212 4 4 1085 1086 756 757
214 5 5 1262 1266 757 757
215 7 7 1119 1121 758 761
216 4 4 1414 1414 758 761
218 3 3 1088 1090 760 760
220 5 5 1131 1133 760 761
221 2 2 1286 1287 761 761
222 1 1 1714 1714 761 761
223 92 61 1889 1906 762 782
226 3 3 1903 1904 764 765
228 31 23 1691 1700 766 771
231 10 10 1676 1680 771 772
232 57 26 1818 1827 773 783
235 12 10 1852 1855 775 778
237 50 23 1697 1708 776 781
238 10 9 1302 1307 777 779
245 3 3 1884 1885 778 779
246 15 15 1673 1686 779 780
249 94 43 1749 1767 780 786
250 1 1 1793 1793 780 780
251 1 1 1805 1805 780 780
253 4 4 1895 1896 780 781
257 14 14 1236 1248 786 787
259 2 2 1409 1410 787 787
260 1 1 1769 1769 787 787
261 35 20 1904 1909 787 796
263 134 62 1891 1907 792 811
264 17 13 1806 1812 793 796
266 23 22 1792 1805 795 797
268 6 6 1856 1861 795 795
270 6 6 1849 1850 796 800
271 1 1 1548 1548 797 797
272 7 7 1842 1845 797 798
273 119 51 1766 1787 798 806
278 1 1 1810 1810 802 802
279 31 19 1818 1825 802 806
281 1 1 1813 1813 804 804
282 2 2 1889 1890 804 804
284 13 13 1788 1797 805 806
285 235 125 1710 1743 806 826
287 1 1 1891 1891 806 806
288 2 2 1914 1915 806 806
289 1 1 1809 1809 807 807
290 5 5 1764 1766 808 809
291 61 35 1853 1866 808 816
292 1 1 1911 1911 808 808
294 1 1 1852 1852 809 809
295 5 5 1910 1911 809 812
296 1 1 1479 1479 810 810
298 1 1 1851 1851 810 810
299 7 7 1703 1707 812 813
300 6 6 1880 1882 812 814
301 55 41 1691 1705 813 824
303 43 26 1799 1810 813 821
306 2 2 1897 1897 813 814
307 1 1 1915 1915 813 813
309 2 2 1757 1757 814 815
313 3 3 1851 1852 816 817
315 27 21 170 181 819 821
316 126 75 1661 1698 819 827
319 22 14 1869 1876 820 825
323 1 1 1882 1882 821 821
333 36 30 1641 1658 827 831
334 49 34 1620 1630 828 840
336 4 4 0 1 829 831
337 2 2 1912 1912 829 830
340 4 4 1906 1908 831 832
341 1 1 1596 1596 832 832
342 3 3 1668 1670 832 832
343 3 3 1889 1891 832 832
344 1 1 1666 1666 833 833
347 17 15 1653 1661 836 838
349 1 1 1628 1628 841 841
350 32 30 1884 1887 841 858
352 2 2 1697 1697 845 846
353 3 3 1443 1445 849 849
355 59 37 1863 1868 858 874
357 1 1 1661 1661 884 884
358 4 4 1630 1632 892 893
359 32 16 1792 1799 931 936
361 8 8 1899 1901 941 944
363 24 16 1832 1838 977 980
364 1 1 1852 1852 988 988
365 1 1 963 963 996 996
366 114 51 1497 1519 1008 1015
370 53 24 1524 1534 1010 1017
373 12 9 1889 1893 1030 1032
374 1 1 1162 1162 1031 1031
