# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
30 4679 576 1555 1687 570 677 132 107 14124 1 1 1 1 1 1 1
1 4565 553 2 130 527 632 128 105 13440 1 1 1 1 1 1 1
285 235 125 1710 1743 806 826 33 20 660 1 0 0 0 1 1 1
263 134 62 1891 1907 792 811 16 19 304 1 0 0 1 1 1 1
316 126 75 1661 1698 819 827 37 8 296 0 0 0 0 1 1 1
172 119 69 1015 1048 739 746 33 7 231 0 0 0 0 1 1 1
273 119 51 1766 1787 798 806 21 8 168 0 0 0 0 1 0 1
366 114 51 1497 1519 1008 1015 22 7 154 0 0 0 0 1 0 1
112 106 35 1345 1356 625 634 11 9 99 0 0 0 1 1 0 1
249 94 43 1749 1767 780 786 18 6 108 0 0 0 0 1 0 1
223 92 61 1889 1906 762 782 17 20 340 1 0 0 1 1 1 1
153 81 28 1470 1479 699 708 9 9 81 0 0 0 1 1 0 1
159 79 70 163 205 736 740 42 4 168 0 0 0 0 1 1 1
291 61 35 1853 1866 808 816 13 8 104 0 0 0 0 1 1 1
355 59 37 1863 1868 858 874 5 16 80 0 0 0 0 1 0 1
232 57 26 1818 1827 773 783 9 10 90 0 0 0 1 1 0 1
301 55 41 1691 1705 813 824 14 11 154 0 0 0 1 1 1 1
370 53 24 1524 1534 1010 1017 10 7 70 0 0 0 0 1 0 1
237 50 23 1697 1708 776 781 11 5 55 0 0 0 0 1 0 1
334 49 34 1620 1630 828 840 10 12 120 0 0 0 1 1 1 1
173 45 37 982 1000 740 743 18 3 54 0 0 0 0 1 0 1
184 45 31 1149 1156 744 756 7 12 84 0 0 0 0 1 1 1
303 43 26 1799 1810 813 821 11 8 88 0 0 0 0 1 1 1
333 36 30 1641 1658 827 831 17 4 68 0 0 0 0 1 1 1
261 35 20 1904 1909 787 796 5 9 45 0 0 0 0 1 0 1
350 32 30 1884 1887 841 858 3 17 51 0 0 0 0 1 0 1
359 32 16 1792 1799 931 936 7 5 35 0 0 0 0 1 0 1
228 31 23 1691 1700 766 771 9 5 45 0 0 0 0 1 0 1
279 31 19 1818 1825 802 806 7 4 28 0 0 0 0 1 0 1
315 27 21 170 181 819 821 11 2 22 0 0 0 0 1 0 1
363 24 16 1832 1838 977 980 6 3 18 0 0 0 0 1 0 1
266 23 22 1792 1805 795 797 13 2 26 0 0 0 0 1 0 1
319 22 14 1869 1876 820 825 7 5 35 0 0 0 0 1 0 1
189 17 13 1331 1336 746 750 5 4 20 0 0 0 1 1 0 1
190 17 12 1120 1123 747 753 3 6 18 0 0 0 0 1 0 1
264 17 13 1806 1812 793 796 6 3 18 0 0 0 0 1 0 1
347 17 15 1653 1661 836 838 8 2 16 0 0 0 0 1 0 1
