# label area perimeter xmin xmax ymin ymax
1 2 2 63 63 376 377
2 4629 570 2 130 527 631
27 5255 592 1554 1688 569 678
86 1 1 100 100 610 610
110 1 1 514 514 621 621
111 86505 3577 408 966 622 921
119 87 37 1336 1351 625 632
124 7 7 1355 1356 626 630
139 11 9 804 808 631 633
150 9 9 63 63 644 652
152 879 190 459 487 645 716
185 41 21 867 871 661 671
190 5 5 73 76 665 666
191 3 3 89 91 665 665
204 14 11 872 874 680 685
209 2 2 1660 1661 689 689
214 2 2 1672 1672 694 695
217 39 32 1472 1480 698 707
234 3 3 914 914 728 730
257 67 30 968 981 739 749
261 4 4 1018 1021 740 740
278 1 1 1249 1249 744 744
280 1 1 1250 1250 745 745
282 1 1 970 970 750 750
292 5 5 1712 1715 773 774
297 1 1 1816 1816 794 794
299 42 23 1813 1822 800 805
308 1 1 1735 1735 805 805
309 1 1 418 418 806 806
312 1 1 1812 1812 806 806
317 17 16 1712 1719 813 815
320 12 12 0 1 817 822
321 1 1 1712 1712 820 820
323 3 3 1700 1702 821 821
324 2 2 1697 1698 822 822
325 15 14 1688 1694 823 827
327 5 5 1652 1655 825 826
329 27 19 1643 1651 826 831
330 62 33 1659 1670 826 835
331 1 1 1699 1699 826 826
334 1 1 1640 1640 828 828
338 1 1 1639 1639 832 832
339 1 1 1643 1643 832 832
342 18 14 1634 1638 833 837
351 3 3 1667 1668 840 841
354 1 1 874 874 851 851
366 11 9 1862 1865 866 869
370 1 1 426 426 883 883
373 1 1 862 862 885 885
377 80 39 583 601 896 902
380 5 5 645 649 897 897
384 1 1 794 794 923 923
385 14 12 903 908 979 981
