# label area perimeter xmin xmax ymin ymax width height spatial_area pass_area pass_dims pass_pix_area pass_aspect pass_circ pass_fill pass_fill_min
111 86550 3622 408 966 622 921 559 300 167700 0 1 1 1 0 1 1
27 5255 592 1554 1688 569 678 135 110 14850 1 1 1 1 1 1 1
2 4629 570 2 130 527 631 129 105 13545 1 1 1 1 1 1 1
152 834 145 460 487 645 716 28 72 2016 1 0 1 0 1 1 1
119 87 37 1336 1351 625 632 16 8 128 0 0 0 0 1 0 1
377 80 39 583 601 896 902 19 7 133 0 0 0 0 1 0 1
257 67 30 968 981 739 749 14 11 154 0 0 0 1 1 1 1
330 62 33 1659 1670 826 835 12 10 120 0 0 0 1 1 1 1
299 42 23 1813 1822 800 805 10 6 60 0 0 0 0 1 0 1
185 41 21 867 871 661 671 5 11 55 0 0 0 0 1 0 1
217 39 32 1472 1480 698 707 9 10 90 0 0 0 1 1 1 1
329 27 19 1643 1651 826 831 9 6 54 0 0 0 0 1 1 1
342 18 14 1634 1638 833 837 5 5 25 0 0 0 1 1 0 1
317 17 16 1712 1719 813 815 8 3 24 0 0 0 0 1 0 1
325 15 14 1688 1694 823 827 7 5 35 0 0 0 0 1 1 1
204 14 11 872 874 680 685 3 6 18 0 0 0 0 1 0 1
385 14 12 903 908 979 981 6 3 18 0 0 0 0 1 0 1
320 12 12 0 1 817 822 2 6 12 0 0 0 0 1 0 1
139 11 9 804 808 631 633 5 3 15 0 0 0 0 1 0 1
366 11 9 1862 1865 866 869 4 4 16 0 0 0 1 1 0 1
150 9 9 63 63 644 652 1 9 9 0 0 0 0 1 0 1
124 7 7 1355 1356 626 630 2 5 10 0 0 0 0 1 0 1
190 5 5 73 76 665 666 4 2 8 0 0 0 0 1 0 1
292 5 5 1712 1715 773 774 4 2 8 0 0 0 0 1 0 1
327 5 5 1652 1655 825 826 4 2 8 0 0 0 0 1 0 1
380 5 5 645 649 897 897 5 1 5 0 0 0 0 1 0 1
261 4 4 1018 1021 740 740 4 1 4 0 0 0 0 1 0 1
191 3 3 89 91 665 665 3 1 3 0 0 0 0 1 0 1
234 3 3 914 914 728 730 1 3 3 0 0 0 0 1 0 1
323 3 3 1700 1702 821 821 3 1 3 0 0 0 0 1 0 1
351 3 3 1667 1668 840 841 2 2 4 0 0 0 1 1 0 1
1 2 2 63 63 376 377 1 2 2 0 0 0 0 1 0 1
209 2 2 1660 1661 689 689 2 1 2 0 0 0 0 1 0 1
214 2 2 1672 1672 694 695 1 2 2 0 0 0 0 1 0 1
324 2 2 1697 1698 822 822 2 1 2 0 0 0 0 1 0 1
86 1 1 100 100 610 610 1 1 1 0 0 0 1 1 0 1
110 1 1 514 514 621 621 1 1 1 0 0 0 1 1 0 1
278 1 1 1249 1249 744 744 1 1 1 0 0 0 1 1 0 1
280 1 1 1250 1250 745 745 1 1 1 0 0 0 1 1 0 1
282 1 1 970 970 750 750 1 1 1 0 0 0 1 1 0 1
297 1 1 1816 1816 794 794 1 1 1 0 0 0 1 1 0 1
308 1 1 1735 1735 805 805 1 1 1 0 0 0 1 1 0 1
309 1 1 418 418 806 806 1 1 1 0 0 0 1 1 0 1
312 1 1 1812 1812 806 806 1 1 1 0 0 0 1 1 0 1
321 1 1 1712 1712 820 820 1 1 1 0 0 0 1 1 0 1
331 1 1 1699 1699 826 826 1 1 1 0 0 0 1 1 0 1
334 1 1 1640 1640 828 828 1 1 1 0 0 0 1 1 0 1
338 1 1 1639 1639 832 832 1 1 1 0 0 0 1 1 0 1
339 1 1 1643 1643 832 832 1 1 1 0 0 0 1 1 0 1
354 1 1 874 874 851 851 1 1 1 0 0 0 1 1 0 1
370 1 1 426 426 883 883 1 1 1 0 0 0 1 1 0 1
373 1 1 862 862 885 885 1 1 1 0 0 0 1 1 0 1
384 1 1 794 794 923 923 1 1 1 0 0 0 1 1 0 1
