TIME: 4790225000 | RAM WRITE | Addr: 1 <= Data: 1
TIME: 4809415000 | RAM WRITE | Addr: 2 <= Data: 2
TIME: 4809425000 | RAM WRITE | Addr: 2 <= Data: 1
TIME: 4828625000 | RAM WRITE | Addr: 2 <= Data: 1
TIME: 4905595000 | RAM WRITE | Addr: 3 <= Data: 3
TIME: 4943685000 | RAM WRITE | Addr: 4 <= Data: 4
TIME: 4962875000 | RAM WRITE | Addr: 5 <= Data: 5
TIME: 4962885000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 4982085000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 5001265000 | RAM WRITE | Addr: 6 <= Data: 6
TIME: 5001275000 | RAM WRITE | Addr: 6 <= Data: 5
TIME: 5001285000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 5020475000 | RAM WRITE | Addr: 6 <= Data: 5
TIME: 5020485000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 5039685000 | RAM WRITE | Addr: 5 <= Data: 4
TIME: 5462545000 | RAM WRITE | Addr: 7 <= Data: 7
TIME: 5520215000 | RAM WRITE | Addr: 8 <= Data: 8
TIME: 5539405000 | RAM WRITE | Addr: 9 <= Data: 9
TIME: 5539415000 | RAM WRITE | Addr: 9 <= Data: 8
TIME: 5635405000 | RAM WRITE | Addr: 10 <= Data: 10
TIME: 7620345000 | RAM WRITE | Addr: 11 <= Data: 11
TIME: 7639535000 | RAM WRITE | Addr: 12 <= Data: 12
TIME: 7639545000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 7658615000 | RAM WRITE | Addr: 13 <= Data: 13
TIME: 7658725000 | RAM WRITE | Addr: 14 <= Data: 14
TIME: 7658735000 | RAM WRITE | Addr: 14 <= Data: 12
TIME: 7658745000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 7677915000 | RAM WRITE | Addr: 15 <= Data: 15
TIME: 7677925000 | RAM WRITE | Addr: 15 <= Data: 14
TIME: 7677935000 | RAM WRITE | Addr: 14 <= Data: 12
TIME: 7677945000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 7696985000 | RAM WRITE | Addr: 16 <= Data: 16
TIME: 7697015000 | RAM WRITE | Addr: 16 <= Data: 13
TIME: 7697125000 | RAM WRITE | Addr: 15 <= Data: 14
TIME: 7697135000 | RAM WRITE | Addr: 14 <= Data: 12
TIME: 7697145000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 7716215000 | RAM WRITE | Addr: 16 <= Data: 13
TIME: 7716305000 | RAM WRITE | Addr: 17 <= Data: 17
TIME: 7716315000 | RAM WRITE | Addr: 17 <= Data: 15
TIME: 7716325000 | RAM WRITE | Addr: 15 <= Data: 14
TIME: 7716335000 | RAM WRITE | Addr: 14 <= Data: 12
TIME: 7716345000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 7735375000 | RAM WRITE | Addr: 18 <= Data: 18
TIME: 7735385000 | RAM WRITE | Addr: 18 <= Data: 16
TIME: 7735415000 | RAM WRITE | Addr: 16 <= Data: 13
TIME: 7735525000 | RAM WRITE | Addr: 15 <= Data: 14
TIME: 7735535000 | RAM WRITE | Addr: 14 <= Data: 12
TIME: 7735545000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 7754555000 | RAM WRITE | Addr: 19 <= Data: 19
TIME: 7754575000 | RAM WRITE | Addr: 19 <= Data: 18
TIME: 7754725000 | RAM WRITE | Addr: 15 <= Data: 14
TIME: 7754735000 | RAM WRITE | Addr: 14 <= Data: 12
TIME: 7754745000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 7773685000 | RAM WRITE | Addr: 20 <= Data: 20
TIME: 7773725000 | RAM WRITE | Addr: 21 <= Data: 21
TIME: 7773755000 | RAM WRITE | Addr: 21 <= Data: 19
TIME: 7773775000 | RAM WRITE | Addr: 19 <= Data: 18
TIME: 7792925000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 7792935000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 7792945000 | RAM WRITE | Addr: 21 <= Data: 20
TIME: 7812075000 | RAM WRITE | Addr: 22 <= Data: 22
TIME: 7812085000 | RAM WRITE | Addr: 22 <= Data: 20
TIME: 7831125000 | RAM WRITE | Addr: 23 <= Data: 23
TIME: 7831535000 | RAM WRITE | Addr: 24 <= Data: 24
TIME: 7831545000 | RAM WRITE | Addr: 24 <= Data: 11
TIME: 7850745000 | RAM WRITE | Addr: 24 <= Data: 11
TIME: 7985135000 | RAM WRITE | Addr: 25 <= Data: 25
TIME: 7985145000 | RAM WRITE | Addr: 25 <= Data: 11
TIME: 8004325000 | RAM WRITE | Addr: 26 <= Data: 26
TIME: 8004335000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 8004345000 | RAM WRITE | Addr: 25 <= Data: 11
TIME: 8023515000 | RAM WRITE | Addr: 27 <= Data: 27
TIME: 8023525000 | RAM WRITE | Addr: 27 <= Data: 26
TIME: 8023535000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 8023545000 | RAM WRITE | Addr: 25 <= Data: 11
TIME: 8042605000 | RAM WRITE | Addr: 28 <= Data: 28
TIME: 8042735000 | RAM WRITE | Addr: 26 <= Data: 25
TIME: 8042745000 | RAM WRITE | Addr: 25 <= Data: 11
TIME: 8061665000 | RAM WRITE | Addr: 29 <= Data: 29
TIME: 8061795000 | RAM WRITE | Addr: 30 <= Data: 30
TIME: 8061805000 | RAM WRITE | Addr: 30 <= Data: 28
TIME: 8080985000 | RAM WRITE | Addr: 31 <= Data: 31
TIME: 8080995000 | RAM WRITE | Addr: 31 <= Data: 30
TIME: 8081005000 | RAM WRITE | Addr: 30 <= Data: 28
TIME: 8100195000 | RAM WRITE | Addr: 31 <= Data: 30
TIME: 8100205000 | RAM WRITE | Addr: 30 <= Data: 28
TIME: 8119255000 | RAM WRITE | Addr: 32 <= Data: 32
